codigo;referencia;item_corto;nombre;segmento;subsegmento;marca;Cantidad;precio
;;;;;;;6.301,00;
ID229660;ID0242229660;0242229660;[ID0242229660] BUJIA FR8DCX+ HYUNDAI ACCENT-ATOS-GETZ-TUCSON RENAULT MEGAN-CLIO-LAGUNA-TWINGO KIA SPORTAGE-PICANTO NISSAN SENTRA SUPER PLUS;Inyección;02-Inyección Encendido;BOSCH;226,00;9.890,50
741101;74GE1101;GE1101;[74GE1101] MOTOVENTILADOR AUDI A4 A6 VOLKSWAGEN PASSAR V6 HELICEØ305MM ØMOTOR126MM ASTAS 258W SENTIDO ANTIHORARIO;Eléctricos;Refrigeración;GAUSS;3,00;286.789,02
74034;74GE1034;GE1034;[74GE1034] MOTOVENTILADOR CHEVROLET SONIC 1.6 TRACKER 1.8 RESISTENCIA 3 PINES 9ASPAS Ø MOTOR100MM HORARIO P300W ASP Ø HELICE405MM CON AIRE;Eléctricos;Refrigeración;GAUSS;25,00;257.598,11
71917;71S030830;S030830;[71S030830] AXIAL DIRECCION NISSAN SENTRA B13 1.6 1993-2014;Suspensión;Vehículo Liviano;GSP;2,00;27.787,88
71373;71624019;624019;[71624019] PUNTA EJE L/C (25X20X36) (MI-775) KIA PICANTO MORNING 1.1 2005-2011;Suspensión;Vehículo Liviano;GSP;14,00;75.967,27
71360;71606013;606013;[71606013] PUNTA EJE L/C (22X22X35) (SK-549) CHEVROLET SAIL 1.4 2012-2019 PIN INTERNO;Suspensión;Vehículo Liviano;GSP;13,00;103.059,27
70036;70SD-6033;SD-6033;[70SD-6033] BOBINA ENCENDIDO CHEVROLET SONIC 1.6 13 18 16V TRACKER 1.8 13 19 CON MODULO 7 P GC4927 SD-6033 LEIG060 LEIG212 SD-6022;Inyección;02-Inyección Encendido;MOLPOWER;5,00;289.799,89
70064;70SD-5199;SD-5199;[70SD-5199] BOBINA ENCENDIDO JAC J2 J3 J5 1.4 1.6 CHEVROLET EPICA 2.0 08 09 3 P GC4913 LEIG220 SD-5199;Inyección;02-Inyección Encendido;MOLPOWER;5,00;85.584,80
39716;48GP0016F;GP0016F;"[48GP0016F] PLUMILLA AERODINAMICA 16"" 400MM";Accesorios;Plumillas;MECOFUL;105,00;11.043,20
26509;26M9T60871;M9T60871;[26M9T60871] ARRANQUE CHEVROLET FVR FTR RELACIONADO 24V T11 - 40MM 7.2KW S:HORARIO T:MITSUBISHI ZM898;Eléctricos;Arrq y Alt OEM;MOLPOWER;5,00;597.532,44
17005;17GI3803;GI3803;[17GI3803] BOMBA ELECTRICA UNIVERSAL TIPO 2068 PICO NEGRO LISO GI3803 0986AG1305 LEFS013 B007;Inyección;01-Inyección Gasolina;GAUSS;32,00;54.896,00
17002;17GI3802A;GI3802A;[17GI3802A] BOMBA ELECTRICA UNIVERSAL TIPO 2068 PICO NEGRO CORRUGADO GI3802A 0580454001 0580454001;Inyección;01-Inyección Gasolina;GAUSS;4.466,00;51.506,74
17515;17GCA84;GCA84;[17GCA84] MODULO BOMBA ELECTRICA RENAULT LOGAN MV 1.6L SANDERO 1.6L;Inyección;01-Inyección Gasolina;GAUSS;2,00;243.900,00
12003;12GB1060;GB1060;[12GB1060] PITOS DISCO 12V 4AMP 115DB Ø92MM JUEGO X 2 BLISTER;Accesorios;Pitos;GAUSS;89,00;30.575,59
7471;07GA1359;GA1359;[07GA1359] RECTIFICADOR FORD SCAPE 150AMP 12X50A AVALANCHE (GA871) TIPO MITSUBISHI;Eléctricos;Despiece;GAUSS;5,00;109.614,84
20403;02ZM-403;ZM-403;[02ZM-403] AUTOMATICO FORD TODOS METALICO 12V;Eléctricos;Despiece;ZM;3,00;141.508,84
71181;71516515;516515;[71516515] BUJE TIJERA FORD FIESTA MAZDA 2;Suspensión;Vehículo Liviano;GSP;15,00;24.191,92
741063;74GE1063;GE1063;[74GE1063] MOTOVENTILADOR CHEVROLET SONIC 1.6 TRACKER 1.8 RESISTENCIA 3 PINES 9ASPAS Ø MOTOR100MM HORARIO P300W ASP Ø HELICE405MM A C ENF;Eléctricos;Refrigeración;GAUSS;5,00;322.146,58
20597;02ZM-597;ZM-597;[02ZM-597] AUTOMATICO HYUNDAI ATOS 12V VALEO PARIS RHONE;Eléctricos;Despiece;ZM;3,00;112.375,97
7553;07GA1449;GA1449;[07GA1449] RECTIFICADOR KIA PICANTO ION CHEVROLET COBALT 1.8L 130A 6X50A AVALANCHE B+: M8X20MM GA352 TIPO BOSCH;Eléctricos;Despiece;GAUSS;3,00;68.058,45
21897;02ZM-1897;ZM-1897;[02ZM-1897] AUTOMATICO MITSUBISHI KOBELCO 24V SIN OREJAS;Eléctricos;Despiece;ZM;5,00;251.583,50
311001;031116423;1116423;[031116423] REGULADOR 10SI 12V S TORNILLO;Eléctricos;Despiece;DELCO_REMY;48,00;99.425,98
7478;07GA913;GA913;[07GA913] REGULADOR KIA SOUL 2.0 I30 HYUNDAI SANTAFE ELANTRA 2.0 12 3 N C-L-DFM(FR) TIPO VALEO;Eléctricos;Despiece;GAUSS;1,00;100.855,96
7975;07GA975;GA975;[07GA975] REGULADOR CHEVROLET SPARK 0.8 2005-2015 DAEWO MATIZ 12 2 IG-L TIPO VALEO;Eléctricos;Despiece;GAUSS;4,00;59.412,27
32409;32GS1013;GS1013;[32GS1013] SENSOR VELOCIDAD (VSS) HYUNDAI ATOS 1.0 ACCENT 1.5 ELANTRA 2.0 TUCSON 2.0 KIA CARENS 2.0 SPORTAGE 2.0 3P;Inyección;03-Inyección Control;GAUSS;13,00;25.000,00
BAAE0092;BA1986AE0092;1986AE0092;[BA1986AE0092] REGULADOR RENAULT CLIO II KANGOO LAGUNA LOGAN MEGANE SANDERO STEPWAY SCENIC SYMBOL 12V 3P FR-L 7701048230 F00MA45234 F00M145204 230624;Eléctricos;Despiece;BOSCH;2,00;216.341,26
20591;02ZM-591;ZM-591;[02ZM-591] AUTOMATICO CHEVROLET CORSA 1.3 Y 1.4 12V;Eléctricos;Despiece;ZM;3,00;110.058,94
360040;36GE0040;GE0040;[36GE0040] RELE 5P 12V 30AMP ISUZU NPR 94 NQR 94 8-97173-951-0;Eléctricos;Switches - Conectores;GAUSS;5,00;21.542,99
71483;71850012;850012;[71850012] PUNTA EJE L/R (21X30X46.3) (RN-801) RENAULT 9 1.4 1986-1998 TWINGO 1.2 8V 1994-2006 CLIO I 1.4 1993-1999 PE;Suspensión;Vehículo Liviano;GSP;49,00;67.910,00
71929;71S070071;S070071;[71S070071] TERMINAL DIRECCION IZQ CHEVROLET AVEO 1.4 1.6 2006-2012 TODOS SAIL 1.4 2012-2019;Suspensión;Vehículo Liviano;GSP;5,00;35.282,83
743092;74GE3092;GE3092;[74GE3092] RESISTENCIA MOTOVENTILADOR RENAULT SCENIC MEGANE;Eléctricos;Refrigeración;GAUSS;5,00;100.131,42
21421;02ZM-1421;ZM-1421;[02ZM-1421] BOBINA RELE CHEVROLET NKR 12V NIPPONDENSO DERECHA;Eléctricos;Despiece;ZM;5,00;97.494,70
22391;02ZM-2391;ZM-2391;[02ZM-2391] AUTOMATICO HYUNDAI IX35 KIA TUCSON 2012-2015 8000940 CHEVROLET BLAZER - 36120-2B110;Eléctricos;Despiece;ZM;3,00;91.500,00
23978;02ZM-3978;ZM-3978;[02ZM-3978] AUTOMATICO TOYOTA VIGO 12V T-BOSCH;Eléctricos;Despiece;ZM;10,00;141.508,84
20001;02ZM-41993;ZM-41993;[02ZM-41993] BOBINA TOYOTA RELACION DAIHATSU DIESEL 12V;Eléctricos;Despiece;ZM;40,00;82.807,60
27995;02ZM-7995;ZM-7995;[02ZM-7995] AUTOMATICO CHEVROLET GRAND VITARA MITSUBISHI LANCER NISSAN =ZM-697 MAS BAJITO;Eléctricos;Despiece;ZM;30,00;125.783,89
20842;02ZM-842;ZM-842;[02ZM-842] AUTOMATICO 39MT MERCEDES BENZ MB VOLVO LV150 O500 24V SIN OREJAS TIPO MITSUBISHI;Eléctricos;Despiece;ZM;4,00;361.658,16
322917;0310518782;10518782;[0310518782] AUTOMATICO 29MT MERCEDES BENZ MB 914 24V (ZM-2818);Eléctricos;Despiece;DELCO_REMY;3,00;294.153,35
312004;031116433;1116433;[031116433] REGULADOR 20SI 21SI 22SI 27SI 33SI 34SI 12V CON TORNILLO;Eléctricos;Despiece;DELCO_REMY;87,00;64.296,92
312806;038600467;8600467;[038600467] ALTERNADOR 28SI 24V 110AMP J180 AGRALE MN;Eléctricos;Arrq y Alt OEM;DELCO_REMY;4,00;2.133.716,57
311816;038600763;8600763;[038600763] ALTERNADOR 18SI 12VOL 175AMP 2P 7PK MERCEDES SPLINTER 2500,3500 PROTOCOLO LIN ID 0;Eléctricos;Arrq y Alt OEM;DELCO_REMY;5,00;2.190.183,65
7493;07GA1388;GA1388;[07GA1388] RECTIFICADOR JAC J2 J3 85AMP 6X35A AVALANCHE CAPACITOR 80MM(GA806) TIPO JHECO;Eléctricos;Despiece;GAUSS;5,00;72.067,58
7527;07GA1608;GA1608;[07GA1608] RECTIFICADOR JAC VELOZ 2.0 16V 110AMP 6X50A M8X14MM AVALANCHE CON TRIDIODO 114MM (GA608) TIPO CHERY;Eléctricos;Despiece;GAUSS;2,00;63.083,29
7181;07GA200;GA200;[07GA200] REGULADOR CHEVROLET C10 C30 12 55 1116423 TIPO DELCO (GA1312);Eléctricos;Despiece;GAUSS;50,00;13.508,65
7191;07GA206;GA206;[07GA206] REGULADOR 20 21 22 27 33 34SI P900 24 110 1116405 1 TORNILLO 2 TIPO DELCO;Eléctricos;Despiece;GAUSS;33,00;15.489,05
70222;07GA222;GA222;[07GA222] REGULADOR AUDI A3 2.0L VW VOLKSWAGEN BEETLE 2.0 JETTA 2.0 PASSAT TIGUAN 2.0 TSI MB MERCEDES BENZ CLK320 3200 12V DFM F00M144153 F00M145333 139925 (GA1447;Eléctricos;Despiece;GAUSS;5,00;86.880,40
7315;07GA2817;GA2817;[07GA2817] MODULO ENCENDIDO MAZDA 626 ASAHI;Inyección;02-Inyección Encendido;GAUSS;5,00;59.669,89
7239;07GA803;GA803;[07GA803] REGULADOR MAZDA 323 626 93<02 MX3 MX6 12 2 L-S TIPO MITSUBISHI;Eléctricos;Despiece;GAUSS;5,00;52.134,67
7242;07GA806;GA806;[07GA806] REGULADOR JAC J2 J3 ZOTYE NOMADA 12 4 C-S-L-FR TIPO MITSUBISHI (GA1388);Eléctricos;Despiece;GAUSS;4,00;55.081,14
7495;07GA856;GA856;[07GA856] REGULADOR NISSAN FRONTIER 12 2 L-S TIPO MITSUBISHI;Eléctricos;Despiece;GAUSS;5,00;55.145,54
7477;07GA921;GA921;[07GA921] REGULADOR HYUNDAI ACCENT VERNA GYRO TUCSON KIA SPORTAGE RIO 12 2 L-N C TIPO VALEO (GA1826);Eléctricos;Despiece;GAUSS;5,00;96.395,57
7274;07GA940;GA940;[07GA940] REGULADOR CHEVROLET SPARK KRONOS 724 7SI 12 65 2 L-IG TIPO DELCO (GA1940);Eléctricos;Despiece;GAUSS;43,00;36.838,84
12059;12GB1022;GB1022;[12GB1022] PITOS CARACOL 2 TERMINALES 24V JUEGO X 2 BLISTER;Accesorios;Pitos;GAUSS;40,00;33.795,76
12005;12GB1062;GB1062;[12GB1062] PITO DISCO TONO GRAVE 12V 4A 115DB Ø92MM UNIDAD;Accesorios;Pitos;GAUSS;11,00;16.084,79
12016;12GB2089;GB2089;[12GB2089] ALARMA DE REVERSA BLINDADA 24V;Accesorios;Pitos;GAUSS;5,00;28.290,00
13083;13IM12097;IM12097;[13IM12097] SWITCH CONTROL LUCES MERCEDES SPRINTER;Eléctricos;Switches - Conectores;MARILIA;5,00;602.910,00
13122;13IM20603;IM20603;[13IM20603] MOTOR TANQUE LIMPIAVIDRIOS 1 SALIDA 24V FORD;Eléctricos;Componente Eléctrico;MARILIA;5,00;80.103,40
16551;16270995;270995;[16270995] MARCADOR TEMPERATURA AGUA ELECTRICO 24V 40Ø-120Ø ARO CROMADO;Eléctricos;Marcadores;VEETHREE;5,00;80.889,15
16963;16740902;740902;[16740902] SENSOR TEMPERATURA ELECTRICO (PERA) 2T 40-120°C ESTACIONARIOS R 1 2-14NPT SWITCH 102+-3°C;Inyección;03-Inyección Control;VEETHREE;60,00;62.538,13
16905;16900651;900651;[16900651] PANEL TRIPLE MARCADORES 52MM;Eléctricos;Marcadores;VEETHREE;118,00;14.220,15
16906;16900654;900654;[16900654] PANEL UNIDAD MARCADORES 52MM;Eléctricos;Marcadores;VEETHREE;15,00;9.246,27
16957;16977025;977025;[16977025] SENSOR PRESION ACEITE ELECT 1T R-3 8-18 NPT;Eléctricos;Marcadores;VEETHREE;9,00;99.240,17
17529;17GCA28;GCA28;[17GCA28] MODULO BOMBA ELECTRICA VW VOLKSWAGEN JETTA 1.8 2.0 CLASIC AUDI A3 1.8 T SKODA OCTAVIA ;Inyección;01-Inyección Gasolina;GAUSS;3,00;224.070,00
17519;17GCA91;GCA91;[17GCA91] MODULO BOMBA ELECTRICA NISSAN TIIDA 1.8L VERSA 1.6L;Inyección;01-Inyección Gasolina;GAUSS;5,00;227.270,00
17051;17GI3807;GI3807;[17GI3807] BOMBA ELECTRICA FORD EXPLORER 4.0L 95 02 F150 TRITON F250 SUPER DUTY F350 GI3807 LEFS006 B010;Inyección;01-Inyección Gasolina;GAUSS;2,00;89.472,64
17061;17GI4343;GI4343;[17GI4343] BOMBA ELECTRICA MB MERCEDES BENZ KLASE S BERLINA COUPE;Inyección;01-Inyección Gasolina;GAUSS;5,00;246.311,39
23015;23GV6R01;GV6R01;[23GV6R01] BUJIA VW VOLKSWAGEN JETTA GOLD 1.6 CROSS FOX VOYAGE FR7HC;Inyección;02-Inyección Encendido;GAUSS;8,00;7.100,49
23041;23GV6R03-10;GV6R03-10;[23GV6R03-10] BUJIA RENAULT LOGAN 1.6L CLIO 1.6L DUSTER 1.6L KANGOO 1.6L MEGANE 1.6L COBRE  FR7DC;Inyección;02-Inyección Encendido;GAUSS;8,00;6.214,95
23036;23GV6R25-10;GV6R25-10;[23GV6R25-10] BUJIA HYUNDAI i25 KIA RIO III CERATO CARENS SOUL 1.6L COBRE YR8SEU ;Inyección;02-Inyección Encendido;GAUSS;8,00;12.220,57
23011;23GV6R94D;GV6R94D;[23GV6R94D] BUJIA FIAT PALIO OPTRA LOGAN SIMBOL DOBLE ELECTRODO FR7LDC;Inyección;02-Inyección Encendido;GAUSS;304,00;7.068,29
26541;260001.362.305;0001.362.305;[260001.362.305] ARRANQUE MOTORES DEUTZ RELACIONADO 12V T9 2.7KW S:HORARIO T:BOSCH ZM-731;Eléctricos;Arrq y Alt OEM;MOLPOWER;5,00;686.378,89
26511;262873K404;2873K404;[262873K404] ARRANQUE PERKINS, MASSEY FERGUSSON RELACIONADO 12V T10 3.0KW S:HORARIO T:MARELLI;Eléctricos;Arrq y Alt OEM;MOLPOWER;5,00;566.082,54
26996;262H0911023F;2H0911023F;[262H0911023F] ARRANQUE VOLKSWAGEN AMAROK CAMIONETA RELACIONADO 12V T12 2.2KW S:HORARIO T:VALEOZM-3498(1768);Eléctricos;Arrq y Alt NEW;MOLPOWER;5,00;534.632,63
